SimID, EventID, SimTime, SysTime, EventType, NodeID, ObjectID, Info
76,-1,4616601,-1,Attack is Starting,30,-1,Power: 5.2655892E11
77,-1,1188000000,-1,Going into Monitoring,30,-1,Power: 3.1925664E10
77,-1,4633487,-1,Attack is Starting,30,-1,Power: 5.283301E11
78,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.5064657E10
78,-1,4005850,-1,Attack is Starting,30,-1,Power: 5.339897E11
78,-1,8280885,-1,Releasing chain,30,-1,Lenght: 7
79,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 3.0549924E10
79,-1,5597691,-1,Attack is Starting,30,-1,Power: 5.4792284E11
80,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 3.061823E10
80,-1,4494067,-1,Attack is Starting,30,-1,Power: 5.3172253E11
81,-1,1191600000,-1,Going into Monitoring,30,-1,Power: 2.9514074E10
81,-1,4582747,-1,Attack is Starting,30,-1,Power: 5.5367873E11
82,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 3.004398E10
82,-1,6775135,-1,Attack is Starting,30,-1,Power: 5.3492593E11
82,-1,21336219,-1,Releasing chain,30,-1,Lenght: 19
83,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.7235365E10
83,-1,3928441,-1,Attack is Starting,30,-1,Power: 5.407624E11
83,-1,18700766,-1,Releasing chain,30,-1,Lenght: 18
84,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 2.6828993E10
84,-1,3887267,-1,Attack is Starting,30,-1,Power: 5.4001113E11
84,-1,8430728,-1,Releasing chain,30,-1,Lenght: 7
85,-1,1191600000,-1,Going into Monitoring,30,-1,Power: 3.1750046E10
85,-1,5345073,-1,Attack is Starting,30,-1,Power: 5.3356023E11
86,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 2.601684E10
86,-1,4907181,-1,Attack is Starting,30,-1,Power: 5.4102786E11
86,-1,9980588,-1,Releasing chain,30,-1,Lenght: 7
87,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.7587447E10
87,-1,5115720,-1,Attack is Starting,30,-1,Power: 5.4632864E11
87,-1,9338076,-1,Releasing chain,30,-1,Lenght: 9
88,-1,1191600000,-1,Going into Monitoring,30,-1,Power: 2.8450408E10
88,-1,4813858,-1,Attack is Starting,30,-1,Power: 5.362995E11
89,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 3.117932E10
89,-1,4644559,-1,Attack is Starting,30,-1,Power: 5.2753413E11
90,-1,1191600000,-1,Going into Monitoring,30,-1,Power: 2.887412E10
90,-1,5551705,-1,Attack is Starting,30,-1,Power: 5.456396E11
90,-1,9194197,-1,Releasing chain,30,-1,Lenght: 8
91,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 2.7227625E10
91,-1,5492282,-1,Attack is Starting,30,-1,Power: 5.2737232E11
92,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 2.89574E10
92,-1,3684806,-1,Attack is Starting,30,-1,Power: 5.422363E11
93,-1,1191600000,-1,Going into Monitoring,30,-1,Power: 3.2044526E10
93,-1,5731662,-1,Attack is Starting,30,-1,Power: 5.50169E11
93,-1,9360426,-1,Releasing chain,30,-1,Lenght: 8
94,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 3.0586956E10
94,-1,3593675,-1,Attack is Starting,30,-1,Power: 5.425251E11
95,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.3626967E10
95,-1,4447406,-1,Attack is Starting,30,-1,Power: 5.3286732E11
96,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.9436492E10
96,-1,5345300,-1,Attack is Starting,30,-1,Power: 5.4329223E11
97,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.8658995E10
97,-1,4375785,-1,Attack is Starting,30,-1,Power: 5.356237E11
97,-1,10386456,-1,Releasing chain,30,-1,Lenght: 9
98,-1,1184400000,-1,Going into Monitoring,30,-1,Power: 2.7335991E10
98,-1,4694859,-1,Attack is Starting,30,-1,Power: 5.4548103E11
99,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 2.4852867E10
99,-1,4056560,-1,Attack is Starting,30,-1,Power: 5.4331766E11
99,-1,9360813,-1,Releasing chain,30,-1,Lenght: 7
100,-1,1188000000,-1,Going into Monitoring,30,-1,Power: 2.9994455E10
100,-1,4164850,-1,Attack is Starting,30,-1,Power: 5.52887E11
101,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 3.2022399E10
101,-1,4523734,-1,Attacker Receiving Target Transaction (Tx kept),30,-1,Power: 3.2022399E10
101,-1,4959796,-1,Attack is Starting,30,-1,Power: 5.4050262E11
102,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 2.7203396E10
102,-1,3820112,-1,Attack is Starting,30,-1,Power: 5.3816286E11
103,-1,1191600000,-1,Going into Monitoring,30,-1,Power: 2.7077487E10
103,-1,5880002,-1,Attack is Starting,30,-1,Power: 5.4383398E11
103,-1,9585202,-1,Releasing chain,30,-1,Lenght: 7
104,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 2.9877082E10
104,-1,4107469,-1,Attack is Starting,30,-1,Power: 5.4438615E11
105,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.7956871E10
105,-1,4388813,-1,Attack is Starting,30,-1,Power: 5.4029697E11
106,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 3.5212796E10
106,-1,5582126,-1,Attack is Starting,30,-1,Power: 5.3193618E11
106,-1,11993923,-1,Releasing chain,30,-1,Lenght: 14
107,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.9886712E10
107,-1,4562346,-1,Attack is Starting,30,-1,Power: 5.2641268E11
108,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.5676296E10
108,-1,4388765,-1,Attack is Starting,30,-1,Power: 5.309546E11
109,-1,1188000000,-1,Going into Monitoring,30,-1,Power: 2.9508729E10
109,-1,4771534,-1,Attack is Starting,30,-1,Power: 5.2801772E11
110,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 2.5371412E10
110,-1,4896170,-1,Attack is Starting,30,-1,Power: 5.526836E11
111,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.5593596E10
111,-1,4409280,-1,Attack is Starting,30,-1,Power: 5.3439457E11
112,-1,1191600000,-1,Going into Monitoring,30,-1,Power: 2.6045004E10
112,-1,4331630,-1,Attack is Starting,30,-1,Power: 5.467331E11
113,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 3.0232486E10
113,-1,4692111,-1,Attack is Starting,30,-1,Power: 5.398078E11
113,-1,9727924,-1,Releasing chain,30,-1,Lenght: 10
114,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 3.0026838E10
114,-1,3889860,-1,Attack is Starting,30,-1,Power: 5.3735594E11
115,-1,1188000000,-1,Going into Monitoring,30,-1,Power: 2.437569E10
115,-1,4747013,-1,Attack is Starting,30,-1,Power: 5.221E11
116,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 2.9226107E10
116,-1,4943487,-1,Attack is Starting,30,-1,Power: 5.3689673E11
116,-1,38539487,-1,Releasing chain,30,-1,Lenght: 48
117,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.6539244E10
117,-1,3621358,-1,Attack is Starting,30,-1,Power: 5.352656E11
118,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 2.8190771E10
