SimID, TxID, Size, Value, NodeID, ArrivalTime, ConflictID, DependencyIDs
53,70,5300.0,3689.4077,16,3555179,-1,-1
53,80,5974.0,3751.373,29,3820968,-1,-1
53,90,4671.0,4336.72,26,4633610,-1,-1
54,50,4844.0,2920.8425,21,3435957,-1,-1
54,60,4847.0,3743.1082,18,3875638,-1,-1
54,70,4377.0,3682.3606,30,4140820,-1,-1
54,80,4922.0,3281.361,12,4917918,-1,-1
54,90,5305.0,4023.01,6,5492325,-1,-1
55,50,5443.0,3375.0017,19,2932741,-1,-1
55,60,5800.0,3486.5544,9,3501478,-1,-1
55,70,4883.0,4019.5925,17,4156895,-1,-1
55,80,6185.0,3614.7815,2,4626783,-1,-1
55,90,5384.0,3244.9712,12,5367324,-1,-1
56,50,4947.0,3872.985,3,2796006,-1,-1
56,60,5105.0,3561.8252,28,3332842,-1,-1
56,70,5218.0,3483.7585,21,3777912,-1,-1
56,80,5721.0,3582.4138,9,4382793,-1,-1
56,90,5361.0,3806.1343,6,5403232,-1,-1
57,50,3927.0,3246.1606,3,2969493,-1,-1
57,60,5217.0,3564.5818,14,3589418,-1,-1
57,70,5423.0,3558.9026,26,4264147,-1,-1
57,80,5466.0,3919.7122,27,4575176,-1,-1
57,90,4792.0,3016.0508,25,5397887,-1,-1
58,50,4335.0,3216.7454,6,2794647,-1,-1
58,60,4446.0,3733.1865,2,3337427,-1,-1
58,70,5332.0,3842.9377,24,3895646,-1,-1
58,80,4731.0,3237.9072,13,4406843,-1,-1
58,90,5123.0,3670.698,3,4634985,-1,-1
59,50,5219.0,3864.0112,9,2354385,-1,-1
59,60,5117.0,3939.7795,29,2877977,-1,-1
59,70,5092.0,4220.1367,12,3383461,-1,-1
59,80,4850.0,2954.3506,8,3720548,-1,-1
59,90,5783.0,3446.477,20,4201218,-1,-1
60,50,4917.0,3683.5781,12,2780556,-1,-1
60,60,5102.0,3535.0637,6,3464501,-1,-1
60,70,4286.0,3236.5442,14,3890362,-1,-1
60,80,4864.0,3884.7324,22,4349858,-1,-1
60,90,6293.0,3867.5837,30,5100634,-1,-1
61,50,5544.0,3779.3953,25,3653628,-1,-1
61,60,5231.0,3411.6826,17,4127283,-1,-1
61,70,4479.0,3435.0642,4,4709459,-1,-1
61,80,4736.0,3501.668,6,5335728,-1,-1
61,90,4780.0,3708.4033,5,6099711,-1,-1
62,50,4752.0,3526.8345,9,2106449,-1,-1
62,60,5551.0,4270.4395,2,2776541,-1,-1
62,70,4720.0,4434.6445,30,3329380,-1,-1
62,80,5066.0,3851.9482,5,3690433,-1,-1
62,90,4430.0,3525.037,27,4078488,-1,-1
63,50,4647.0,4073.8994,27,3361698,-1,-1
63,60,4755.0,3693.7947,10,3966654,-1,-1
63,70,4827.0,3875.622,15,4684580,-1,-1
63,80,5106.0,4209.8315,11,4986158,-1,-1
63,90,5187.0,3915.2832,8,5791153,-1,-1
64,50,4339.0,3578.653,23,3822038,-1,-1
64,60,4873.0,3265.362,6,4313213,-1,-1
64,70,5507.0,3225.6511,21,5265951,-1,-1
64,80,5058.0,3805.1365,23,5767177,-1,-1
64,90,4506.0,4105.777,16,6145028,-1,-1
65,50,4894.0,3782.9536,17,3395949,-1,-1
65,60,5229.0,4031.2908,2,4144926,-1,-1
65,70,4641.0,3776.4434,3,4655559,-1,-1
65,80,5375.0,3865.3032,17,5036472,-1,-1
65,90,4797.0,3506.786,24,5728360,-1,-1
66,50,4135.0,3733.6973,1,3494006,-1,-1
66,60,5300.0,3295.905,16,3926292,-1,-1
66,70,5799.0,3454.3464,28,4598737,-1,-1
66,80,4401.0,3814.5989,13,5144129,-1,-1
66,90,4767.0,3535.4568,21,5703584,-1,-1
67,50,4841.0,2878.6436,24,2955676,-1,-1
67,60,4066.0,3435.7607,17,3387715,-1,-1
67,70,5686.0,3267.3032,7,3947990,-1,-1
67,80,3797.0,2640.8953,17,4723729,-1,-1
67,90,5158.0,3450.2925,11,5837733,-1,-1
68,50,5872.0,3426.8423,5,2620084,-1,-1
68,60,5019.0,3811.2974,24,3166957,-1,-1
68,70,4681.0,4001.9734,12,3756228,-1,-1
68,80,5686.0,3984.798,14,4255687,-1,-1
68,90,4773.0,3651.8357,30,4642058,-1,-1
69,50,5691.0,3219.5293,23,2668348,-1,-1
69,60,4218.0,3631.7427,25,3088037,-1,-1
69,70,5084.0,3072.7722,29,3670513,-1,-1
69,80,4962.0,4123.302,18,4008558,-1,-1
69,90,5480.0,4034.8706,21,4490876,-1,-1
70,50,5334.0,3862.7236,29,2398010,-1,-1
70,60,4839.0,3649.3748,25,3199744,-1,-1
70,70,5218.0,3305.492,12,3532359,-1,-1
70,80,6186.0,4265.423,18,4285824,-1,-1
70,90,5280.0,3095.1873,4,4789378,-1,-1
71,50,5476.0,3865.552,26,2346501,-1,-1
71,60,5135.0,3072.374,2,3148124,-1,-1
71,70,5332.0,3665.512,25,3528801,-1,-1
71,80,4504.0,4025.812,21,3825705,-1,-1
71,90,4767.0,3313.3096,20,4134708,-1,-1
72,50,4985.0,3114.6543,21,2784770,-1,-1
